,fips,county,st,pred_diff
7623,13181,Lincoln,GA,-1.2
7639,13183,Long,GA,-0.6
7655,13185,Lowndes,GA,-12.2
7671,13187,Lumpkin,GA,4.0
7687,13189,Mcduffie,GA,-2.8
7703,13191,Mcintosh,GA,3.8
7719,13193,Macon,GA,-1.6
7735,13195,Madison,GA,7.2
7751,13197,Marion,GA,-7.2
7767,13199,Meriwether,GA,1.8
7783,13201,Miller,GA,2.0
7799,13205,Mitchell,GA,-4.2
7815,13207,Monroe,GA,0.6
7831,13209,Montgomery,GA,-1.0
7847,13211,Morgan,GA,1.8
7863,13213,Murray,GA,10.0
7879,13215,Muscogee,GA,-2.6
7895,13217,Newton,GA,-3.8
7911,13219,Oconee,GA,-8.4
7927,13221,Oglethorpe,GA,0.0
7943,13223,Paulding,GA,0.8
7959,13225,Peach,GA,1.8
7975,13227,Pickens,GA,8.8
7991,13229,Pierce,GA,1.8
8007,13231,Pike,GA,-4.8
8023,13233,Polk,GA,7.2
8039,13235,Pulaski,GA,0.8
8055,13237,Putnam,GA,2.2
8071,13239,Quitman,GA,10.0
8087,13241,Rabun,GA,5.2
8103,13243,Randolph,GA,-9.4
8119,13245,Richmond,GA,0.8
8135,13247,Rockdale,GA,0.0
8151,13249,Schley,GA,-1.0
8167,13251,Screven,GA,0.2
8183,13253,Seminole,GA,0.2
8199,13255,Spalding,GA,0.2
8215,13257,Stephens,GA,9.8
8231,13259,Stewart,GA,6.2
8247,13261,Sumter,GA,-8.8
8263,13263,Talbot,GA,3.0
8279,13265,Taliaferro,GA,0.8
8295,13267,Tattnall,GA,-0.8
8311,13269,Taylor,GA,4.8
8327,13271,Telfair,GA,1.4
8343,13273,Terrell,GA,-7.0
8359,13275,Thomas,GA,-6.6
8375,13277,Tift,GA,-11.6
8391,13279,Toombs,GA,-3.4
8407,13281,Towns,GA,7.4
8423,13283,Treutlen,GA,-4.4
8439,13285,Troup,GA,-2.0
8455,13287,Turner,GA,-0.4
8471,13289,Twiggs,GA,1.6
8487,13291,Union,GA,10.2
8503,13293,Upson,GA,-2.0
8519,13295,Walker,GA,5.4
8535,13297,Walton,GA,1.2
8551,13299,Ware,GA,0.0
8567,13301,Warren,GA,1.6
8583,13303,Washington,GA,2.4
8599,13305,Wayne,GA,3.8
8631,13309,Wheeler,GA,1.0
8647,13311,White,GA,3.0
8663,13313,Whitfield,GA,1.2
8679,13315,Wilcox,GA,-1.4
8695,13317,Wilkes,GA,6.4
8711,13319,Wilkinson,GA,11.4
8727,13321,Worth,GA,-6.4
8743,15001,Hawaii,HI,2.6
8759,15003,Honolulu,HI,1.6
8791,15007,Kauai,HI,1.2
8807,15009,Maui,HI,-5.2
8823,16001,Ada,ID,0.8
8839,16003,Adams,ID,-2.2
8855,16005,Bannock,ID,4.2
8871,16007,Bear Lake,ID,5.0
8887,16009,Benewah,ID,0.8
8903,16011,Bingham,ID,-1.6
8919,16013,Blaine,ID,-2.6
8935,16015,Boise,ID,6.0
8951,16017,Bonner,ID,-3.0
8967,16019,Bonneville,ID,3.2
8983,16021,Boundary,ID,1.6
8999,16023,Butte,ID,0.0
9015,16027,Canyon,ID,-3.0
9031,16029,Caribou,ID,10.0
9047,16031,Cassia,ID,-2.4
9079,16035,Clearwater,ID,-0.8
9095,16037,Custer,ID,7.6
9111,16039,Elmore,ID,0.0
9127,16041,Franklin,ID,0.2
9143,16043,Fremont,ID,0.0
9159,16045,Gem,ID,2.4
9175,16047,Gooding,ID,-6.4
9191,16049,Idaho,ID,-7.0
9207,16051,Jefferson,ID,0.0
9223,16053,Jerome,ID,-3.6
9239,16055,Kootenai,ID,-1.6
9255,16057,Latah,ID,-4.8
9271,16059,Lemhi,ID,1.8
9287,16061,Lewis,ID,5.4
9303,16063,Lincoln,ID,-6.4
9319,16065,Madison,ID,-8.0
9335,16067,Minidoka,ID,4.0
9351,16069,Nez Perce,ID,-2.0
9367,16071,Oneida,ID,5.8
9383,16073,Owyhee,ID,5.0
9399,16075,Payette,ID,0.2
9415,16077,Power,ID,-1.6
9431,16079,Shoshone,ID,0.6
9447,16081,Teton,ID,6.4
9463,16083,Twin Falls,ID,-2.4
9479,16085,Valley,ID,-3.0
9495,16087,Washington,ID,0.2
9511,17001,Adams,IL,-1.2
9527,17003,Alexander,IL,0.0
